company_id,statement_date,total_net_sales,cost_of_revenue,gross_profit,marketing_expense,research_and_development_expenses,general_and_administrative_expenses,total_operating_expenses,operating_income,interest_expense,non-operating_income,income_before_taxes,income_tax_expense,net_income,basic,diluted,basic.1,diluted.1,revenue,selling_general_and_administrative_expenses,cost_goods_and_services_sold
2770,2023-12-31,,,,,15380000.0,7517000.0,,-22897000.0,,,,,-22260000.0,-1.43,-1.43,15556655.0,15556655.0,,,
2771,2024-01-28,,16621000000.0,44301000000.0,,8675000000.0,,11329000000.0,32972000000.0,257000000.0,846000000.0,33818000000.0,4058000000.0,29760000000.0,12.05,11.93,2469000000.0,2494000000.0,60922000000.0,2654000000.0,
2772,2023-03-31,,8062311.0,30191281.0,,2583994.0,,4547099.0,25644182.0,,,27092837.0,4398379.0,22694458.0,4.7,4.7,4830826.0,4832096.0,38253592.0,,
2773,2023-12-30,427462000.0,,430362000.0,,,67668000.0,369182000.0,,12970000.0,,48210000.0,3597000.0,44613000.0,2.96,2.88,15086040.0,15474326.0,,,
2774,2023-12-31,11087459.0,6913902.0,4173557.0,,3118126.0,5056500.0,10592105.0,-6418548.0,,-573617.0,-6992165.0,731092.0,-7723257.0,-4.96,-4.96,1556555.0,1556555.0,,,
2775,2023-12-31,,,,,13583000.0,,,-25238000.0,,1722000.0,,,-23516000.0,-1.91,-1.91,12301000.0,12301000.0,,11655000.0,
2776,2023-08-31,12572019.0,7619304.0,4952715.0,,,13490728.0,13505877.0,-8553162.0,360571.0,-4716282.0,-13269444.0,,-13214552.0,-1.3,-1.3,10165548.0,10165548.0,,,
2777,2023-12-31,,,,,,,,,27740000.0,,,336762000.0,1591611000.0,491.52,463.31,3238000.0,3435000.0,9518202000.0,,
2778,2023-12-31,,1633662000.0,,,1286000.0,,,111014000.0,103872000.0,,,28185000.0,-86121000.0,-1.08,-1.08,79796000.0,79796000.0,2069225000.0,312383000.0,
2779,2023-12-31,425174000.0,,290060000.0,,54418000.0,,389368000.0,-99308000.0,8014000.0,,-97859000.0,-5646000.0,-92213000.0,-2.56,-2.56,35981431.0,35981431.0,,334704000.0,135114000.0
2780,2023-12-31,,,1440500000.0,,93800000.0,,,31500000.0,63400000.0,,-54900000.0,45300000.0,-100200000.0,-0.6,-0.6,166900000.0,166900000.0,2566500000.0,1056900000.0,1126000000.0
2781,2023-12-31,3263600000.0,,1342100000.0,,71500000.0,,,587400000.0,79400000.0,,499500000.0,-67600000.0,567100000.0,3.42,3.37,165600000.0,168200000.0,,683200000.0,1921500000.0
2782,2023-12-31,79456000.0,,,,68825000.0,,149196000.0,-118132000.0,,-28336000.0,-146468000.0,-517000.0,-145433000.0,-0.86,-0.86,168927000.0,168927000.0,,61551000.0,48392000.0
2783,2023-12-31,,,,,8761400.0,,,-32105275.0,,,,1600.0,-31284331.0,-40.36,-40.36,798269.0,798269.0,8332162.0,24694693.0,
2784,2023-12-31,,,,9444000.0,,12955000.0,,,152239000.0,,175078000.0,40121000.0,134957000.0,1.06,1.06,126668671.0,126988172.0,,,
2785,2023-12-31,,,,,,117360000.0,,300455000.0,,,201670000.0,7539000.0,194131000.0,3.22,3.22,60321000.0,60357793.0,1422143000.0,,
2786,2023-12-31,7136000.0,,,,,,,,33473000.0,,21146000.0,4387000.0,16759000.0,2.08,2.07,8062000.0,8084000.0,,,
2787,2023-12-31,8133000000.0,,2353000000.0,,117000000.0,,,-85000000.0,283000000.0,,-543000000.0,-155000000.0,-388000000.0,-0.94,-0.94,414100000.0,414100000.0,,2001000000.0,5780000000.0
2788,2023-12-31,,,,,,,,,,,129685000.0,35255000.0,94430000.0,,,,,703350000.0,,
2789,2023-12-31,,,,,,,1012534000.0,184941000.0,,,,32362000.0,93868000.0,2.59,2.59,36213000.0,36265000.0,1197475000.0,,
2790,2023-12-31,,,77642000.0,,,,,33858000.0,4855000.0,,29279000.0,8207000.0,21072000.0,2.11,2.09,9991000.0,10081000.0,,43784000.0,366713000.0
2791,2023-06-30,,,,,,,,,,,330000000.0,143000000.0,149000000.0,0.26,0.26,576400000.0,578800000.0,9879000000.0,3335000000.0,
2792,2023-10-31,,,,,,23500000.0,,110701000.0,8136000.0,,97046000.0,14545000.0,82501000.0,2.51,2.5,32819000.0,33026000.0,1130583000.0,,853059000.0
2793,2023-12-31,,,,,,,,11581000.0,15902000.0,,,2731000.0,-117241000.0,-3.26,-3.26,37334000.0,37334000.0,63284000.0,,
2794,2023-12-31,4089000.0,3470000.0,619000.0,,103000.0,,4096000.0,-3477000.0,15000.0,289000.0,-3188000.0,,-3157000.0,-0.56,-0.56,5671842.0,5671842.0,,3993000.0,
2795,2023-12-31,,25688.0,85060.0,,1922000.0,,5781356.0,-5696296.0,38835.0,1047587.0,,,-4648709.0,-0.63,-0.63,7357029.0,7357029.0,110748.0,3818842.0,
2796,2023-12-31,13276000000.0,5723000000.0,7553000000.0,,2418000000.0,,3877000000.0,3661000000.0,438000000.0,,,523000000.0,2797000000.0,10.83,10.7,258381000.0,261370000.0,,1159000000.0,
2797,2023-12-31,,26445000.0,11311000.0,,,,34539000.0,-23228000.0,79000.0,937000.0,-12379000.0,28000.0,-3778000.0,-0.22,-0.22,17494000.0,17494000.0,,9910000.0,
2798,2023-12-31,,,,,,9543000.0,,113178000.0,67106000.0,,,,44264000.0,1.73,1.69,25654000.0,26245000.0,277526000.0,,
2799,2023-12-31,4933000000.0,,,,,,,708000000.0,,,401000000.0,131000000.0,346000000.0,9.78,9.64,35317000.0,35834000.0,,1096000000.0,
2800,2023-03-31,,1615164000.0,286973000.0,,21619000.0,,,168485000.0,,,169083000.0,47750000.0,1143000.0,0.02,0.02,45886065.0,145851637.0,1902137000.0,96869000.0,
2801,2023-12-31,,,,,47931000.0,19706000.0,67637000.0,-67637000.0,,,,,-62723000.0,-2.25,-2.25,27836584.0,27836584.0,,,
2802,2023-12-31,496000.0,1029000.0,-533000.0,,11310000.0,15529000.0,46868000.0,-47401000.0,73000.0,7223000.0,,,-40178000.0,-72.16,-72.16,556826.0,556826.0,,,
2803,2023-12-31,,,,,,9375000.0,,-87102000.0,18858000.0,-18822000.0,-105924000.0,0.0,-105924000.0,-47.57,-47.57,2226721.0,2226721.0,,,
