company_id,statement_date,net_income,depreciation_and_amortization,stock_based_compensation,foreign_currency_transaction_gain_or_loss,other_noncash_income_or_expense,changes_in_other_current_assets,changes_in_accounts_payable,changes_in_inventories,changes_in_deferred_revenue,net_cash_provided_by_operating_activities,purchases_of_marketable_securities,proceeds_from_maturities_of_marketable_securities,proceeds_from_sale_of_marketable_securities,purchases_of_property_and_plant_and_equipment,payments_to_acquire_investments,payments_to_acquire_businesses,deferred_revenue,other_investing_activities,net_cash_provided_by_investing_activities,payments_of_tax_for_share_based_compensation,dividends_paid,repurchases_of_common_stock,proceeds_from_issuance_of_common_stock,repayments_of_long_term_debt,net_cash_provided_by_financing_activities,changes_in_cash_and_cash_equivalents_and_restricted_cash,cash_and_cash_equivalents_and_restricted_cash
1015,2023-04-02,5650000.0,,1105000.0,,,,-854000.0,593000.0,,7738000.0,,,,813000.0,,16136000.0,,,-16913000.0,10000.0,,207000.0,98000.0,,9319000.0,144000.0,
1016,2023-04-30,-5335000.0,2100000.0,864000.0,,,,2465000.0,,,3972000.0,,,,2872000.0,,,,,-2872000.0,,,74000.0,,,11000.0,1111000.0,10118000.0
1017,2023-07-29,12613000000.0,700000000.0,2353000000.0,,,,27000000.0,1069000000.0,2326000000.0,19886000000.0,,5978000000.0,1054000000.0,849000000.0,10871000000.0,,2326000000.0,26000000.0,-5107000000.0,597000000.0,6302000000.0,4293000000.0,700000000.0,500000000.0,-11626000000.0,3048000000.0,11627000000.0
1018,2023-12-31,374700000.0,107500000.0,85000000.0,,,,,,-1300000.0,489500000.0,,,,117500000.0,,99600000.0,-1300000.0,,-238600000.0,26400000.0,,,0.0,0.0,-3700000.0,247900000.0,5215900000.0
1019,2023-12-31,66246000.0,,28990000.0,-225000.0,,,,,9306000.0,131896000.0,,,,27977000.0,,0.0,9306000.0,,-27906000.0,10200000.0,33930000.0,127065000.0,3284000.0,327500000.0,-31305000.0,74858000.0,
1020,2023-12-31,767400000.0,151100000.0,41500000.0,,,,-27000000.0,-158000000.0,23400000.0,1201300000.0,,,,142200000.0,,36100000.0,23400000.0,-19000000.0,352400000.0,11700000.0,,900000000.0,,300000000.0,-1349700000.0,205500000.0,576700000.0
1021,2023-12-31,4626782.0,,,,,,124164.0,,,2610229.0,,,,,,,,,145559767.0,,,149486187.0,,,-148256187.0,-86191.0,138283.0
1022,2023-12-31,-269555000.0,,3364000.0,,,,2292000.0,-1544000.0,,-58612000.0,,,,35000.0,,,,,6171000.0,,,,5000000.0,,50425000.0,-1900000.0,6416000.0
1023,2023-09-30,5204000.0,343000.0,1127000.0,-581000.0,,-4581000.0,,-1557000.0,-2161000.0,3907000.0,,,,226000.0,,,-2161000.0,,-341000.0,,656000.0,6000.0,,406000.0,-2401000.0,1235000.0,25217000.0
1024,2023-12-31,41325000.0,103172000.0,3295000.0,,-1436000.0,,,,,89520000.0,,,,,,,,420000.0,120209000.0,,,11539000.0,0.0,46749000.0,-212351000.0,-2622000.0,9269000.0
1025,2023-12-31,-622515636.0,37800035.0,2110848.0,,,,,,,-23306567.0,,,,6660318.0,,,,,-6660318.0,,,,,,14818229.0,-15421743.0,3316652.0
1026,2023-12-31,-57466000.0,12330000.0,51219000.0,,-635000.0,,5707000.0,3962000.0,,-5626000.0,189075000.0,,,13621000.0,,0.0,,,-16183000.0,5134000.0,,,,,-2298000.0,-24107000.0,98841000.0
1027,2023-12-31,33413000.0,21117000.0,7703000.0,,1407000.0,,,72000.0,,75590000.0,,,,18039000.0,,44500000.0,,,-57004000.0,252000.0,,0.0,,,-18233000.0,,1523000.0
1028,2023-03-31,33093000.0,2750000.0,3705000.0,,,,,,,-227100000.0,,,,281000.0,,,,,-281000.0,1021000.0,71102000.0,,202956000.0,,237535000.0,10154000.0,21585000.0
1029,2023-03-31,96435000.0,34957000.0,,,,,,11422000.0,,121453000.0,,,,,,,,,-72166000.0,,10555000.0,39072000.0,,,-46840000.0,1836000.0,18455000.0
1030,2023-12-31,3715000000.0,1611000000.0,,,,120000000.0,83000000.0,,,5549000000.0,,,,2281000000.0,,31000000.0,,76000000.0,-2287000000.0,,,3482000000.0,,153000000.0,-3867000000.0,-605000000.0,1353000000.0
1031,2023-05-31,1348010000.0,409162000.0,103621000.0,,,,53369000.0,35658000.0,,1597814000.0,,,,331109000.0,4566000.0,46357000.0,,6640000.0,-388672000.0,,,398865000.0,,50000000.0,-1172836000.0,33678000.0,124149000.0
1032,2023-12-31,,823000000.0,,,,,,,,2389000000.0,,,,,,,,,-466000000.0,,1980000000.0,,,2000000.0,-1921000000.0,2000000.0,12000000.0
1033,2023-12-31,78004000.0,3600000.0,1576000.0,,,,,,,85732000.0,19478000.0,124656000.0,21529000.0,6322000.0,,,,,-226599000.0,,32187000.0,,1129000.0,,283581000.0,,271400000.0
1034,2023-12-31,-15445087.0,97113.0,667682.0,,,-28175.0,-449873.0,,,-8348208.0,,,,30470.0,,,,,-30470.0,,,0.0,,,11162990.0,,2912461.0
